Title,Image,Title1,Title2,Number,Price,Description,Description3,Description4,Description5,Description6,Description7,adteaser,adteaser8,adteaser9,adteaser10,adteaser11,adagency,gotomap
Cheap,,Standard & Cheap 10 Flats Of Apartments At Idimu For Sale,For, 11,"₦ 40,000,000","Lagos, Lagos - For Sale - House - 711 m² - 3 bedrooms - 3 bathrooms","Lagos, Lagos",For Sale,House,711 m²,3 bedrooms,"Urgent sales very clean apartments for sale with modern facilities and amenities, such as: aluminum... A total of 10 apartments well finished, with good return of rentals. Where there's constant light...",for,rentals,,,1 Aug 2020 in jiji,"
						 View on the map
					"
For,,Comfortable Single Rooms With All Facilities Intact For Rent,Rent, 5,Request Details,"Lagos, Lagos - For Sale - House - 120 m² - 1 bedroom - 1 bathroom","Lagos, Lagos",For Sale,House,120 m²,1 bedroom,A comfortable single room for rent in a good location for a cheap amount. Come fast as spaces are been taken in a hurry...,for,rent,for,cheap,22 Jul 2020 in jiji,"
						 View on the map
					"
Cheap,,Cheap Land At Isheri Olofin For Sale With C Of O,For, 4,"₦ 11,000,000","Lagos, Lagos - For Sale - House - 3 bedrooms - 3 bathrooms","Lagos, Lagos",For Sale,House,3 bedrooms,3 bathrooms,"Cheapest distress sales of the new year for sale: very cheap land in a mini estate prime plot... Developed quite environment, you can build and live with your family. No omonile. Rental value is high...",for,cheap,Rental,,14 Jul 2020 in jiji,"
						 View on the map
					"
,,Fenced And Gated Estate 100% Dry Land In Ibeju Lekki With Good Title,, 9,"₦ 850,000","Lagos, Lagos - For Sale - Land","Lagos, Lagos",For Sale,Land,,,"Dont let your kids ask you where you were when lekki phase 1, banana island, victoria island and ikoyi was selling, invest in gracis pearl estate today while its still selling cheap gracias pearl...",let,cheap,,,3 days + 12 hours ago in jiji,"
						 View on the map
					"
Cheap,,Fully Painted And Cheap Two Bedroom Flat,, 7,"₦ 150,000","Lagos, Lagos - For Sale - Bungalow - 2 bedrooms - 2 bathrooms","Lagos, Lagos",For Sale,Bungalow,2 bedrooms,2 bathrooms,"And good to raise a family. 5. The rent is 150k 6. The house is fully and newly painted. So no need... Hi sir/ma welcome to my page before you come for the physical inspection of the property, i...",rent,house,for,,3 days + 12 hours ago in jiji,"
						 View on the map
					"
Cheap,,Nice Cheap 2bedrooms Flat For Rent At Lakowe,For, 4,"₦ 350,000","Lagos, Lagos - For Sale - Flat - 2 bedrooms - 2 bathrooms","Lagos, Lagos",For Sale,Flat,2 bedrooms,2 bathrooms,The house is trekable from the express. The compound is interlocked. It is very good for the rent...,house,for,rent,,5 days + 12 hours ago in jiji,"
						 View on the map
					"
For,,Full Plot Of Land For Sale At Obawole And Harunna,, 2,"₦ 9,000,000","Lagos, Lagos - For Sale - Land","Lagos, Lagos",For Sale,Land,,,"And receipt. You can also contact us for cheap and affordable lands, tenement houses, and demolishable... A full plot of land located at obawole in a very good location is for sale. The full plot can...",for,cheap,houses,for,1 week + 3 days ago in jiji,"
						 View on the map
					"
For,,Mixed Use Land Land For Sale Ise Town Ibeju Lekki Lagos,Lagos, 7,"₦ 1,000,000","Ibeju Lekki, Lagos - For Sale - Land","Ibeju Lekki, Lagos",For Sale,Land,,,"Don't let kids ask you where you where when lekki phase 1 and ikoyi was selling cheap! Secure a plot of land in dallas court when it's still selling cheap at n1,000,000 per plot buy 5 and get...",let,cheap,cheap,,14 Jul 2020 in PropertyPro - Kanilelori Realtors Ltd,"
						 View on the map
					"
,,Distress Become A House. No Hidden Charges,, 1,"₦ 6,500,000","Ajah, Lagos - For Sale - Flat - 1 bedroom - 1 bathroom","Ajah, Lagos",For Sale,Flat,1 bedroom,1 bathroom,Budget friendly and best investment. An investor is giving it out for as cheap as 6.5m for now till... For a mini flat. The rental value is 500k to 700k annually depending on how nice you are. You...,for,cheap,for,For,25 May 2020 in NPC,"
						 View on the map
					"
Cheap,,3 Bungalow At A Cheap Price,, 1,"₦ 16,000,000","Ibeju Lekki, Lagos - For Sale - Detached bungalow - 3 bedrooms - 3 bathrooms","Ibeju Lekki, Lagos",For Sale,Detached bungalow,3 bedrooms,3 bathrooms,"Estate, bogije along lekki epe expressway. Why continue to pay rent to lagos landlords when you can use your rent to pay for your own house? Yes! With vantage court, you can rent to own with mortgage...",rent,lagos,rent,for,24 Apr 2020 in NPC,"
						 View on the map
					"
