Title,Title_URL,Image,ribbon,wpblockdateover,Content,voffsetbottom10,Field,Description,addedon,Price,period,Mark,Mark1,Info,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Avg_price
"5 Bedrooms Terrace With Swimming Pool, Party Furnished With Ac, Fitted Kitchen",https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/725243-5-bedrooms-terrace-with-swimming-pool-party-furnished-with-ac-fitted-kitchen,https://images.nigeriapropertycentre.com/properties/images/thumbs/725243/05f55145622c6b-5bedroom-terrace-with-spool-party-furnished-with-ac-fitted-kitchen-terraced-duplexes-for-rent-lekki-phase-1-lekki-lagos.jpeg,Premium Listing,"
  20
",5 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","
5bedroom fully serviced terrace with swimming pool, party furnished with Ac, fitted Kitchen, inverter on 3 floors In a well serene environment
Rent:5m,
Agency:10% ,
Legal:10%
, s/c:1.5m, excluding diesel.
Location: Lekki Phase 1
08087813295 ",More details,Added Today,"5,000,000", per annum,"
Barosys Consulting

  08035730141 
","
  08035730141 ",5,Bedrooms,5,Bathrooms,6,Toilets,3,Parking Spaces, Save
4 Bedrooms Detached Duplex,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ologolo/725201-4-bedrooms-detached-duplex,https://images.nigeriapropertycentre.com/properties/images/thumbs/725201/05f5506d17f84b-4bedroom-detached-duplex-detached-duplexes-for-rent-ologolo-lekki-lagos.jpg,Premium Listing,"
  25
",4 bedroom detached duplex for rent,"  Ologolo, Lekki, Lagos","
To let
4 bedroom detached duplex all rooms ensuite At silicon Vale estate ologolo lekki-Lagos
Price - 3.8Million
Agency fee 10%
Legal fee 5%
Caution 200k ",More details,Added Today,"3,800,000", per annum,"
Richie Realtors

  08037207128 
","
  08037207128 ",4,Bedrooms,4,Bathrooms,5,Toilets,2,Parking Spaces, Save
Beautiful 3 Bedrooms Terraced Duplex With Bq With No Agency Or Legal Fee,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/igbo-efon/725199-beautiful-3-bedrooms-terraced-duplex-with-bq-with-no-agency-or-legal-fee,https://images.nigeriapropertycentre.com/properties/images/thumbs/725199/05f5505e0bd836-beautiful-3-bedroom-terrace-duplex-with-bq-terraced-duplexes-for-rent-igbo-efon-lekki-lagos.jpg,Premium Listing,"
  12
",3 bedroom terraced duplex for rent,"  Atlantic View Estate, Igbo Efon, Lekki, Lagos","
Beautiful 3 bedroom terrace duplex with no agency and legal fee. Total package 2.5m ( 2m for rent, 300k for service charge and 200k for caution deposit) ",More details,Added Today,"2,000,000", per annum,"


  07045810006 
","
  07045810006 ",3,Bedrooms,3,Bathrooms,4,Toilets,4,Parking Spaces, Save
5 Bedroom With 2 Bqs,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/725136-5-bedroom-with-2-bqs,https://images.nigeriapropertycentre.com/properties/images/thumbs/725136/05f54ee0724804-5-bedroom-with-2-bqs-semi-detached-duplexes-for-rent-lekki-phase-1-lekki-lagos.jpeg,Premium Listing,"
  15
",5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","
5 Bedroom with 2 BQs
Rent: 5.2m
Caution deposit: 150,000
Agency Fee : 10%
Legal fee: 10%
Can be used for Residential and commercial purposes ",More details,Added Today,"5,200,000", per annum,"
Didi Cole Limited

  014534258 
","
  014534258 ",5,Bedrooms,5,Bathrooms,4,Parking Spaces,,, Save
Fully Refurbished Luxury 4 Bedroom Terrace,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/osborne/549417-fully-refurbished-luxury-4-bedroom-terrace,https://images.nigeriapropertycentre.com/properties/images/thumbs/549417/05dfa558ba4a3c-luxury-4-bedroom-terrace-terraced-duplexes-for-rent-osborne-ikoyi-lagos.jpeg,Premium Listing,"
  19
",4 bedroom terraced duplex for rent,"  Manbilla Court, Osborne, Ikoyi, Lagos","
Well renovated 4 bed terrace duplex with a bq, striped and redone with luxury marble floors , fitted kitchen, spacious living and dining, well lit en-suite rooms, nice wardrobes , fantastic ceiling designs , in a beautiful, serene and well secured estate ,inside Osborne phase 1, Ikoyi.
Pool, gym, club house , water from garden etc ",More details,Added on 18 Dec 2019,"8,500,000", per annum,"
Abodeworks Services

  07065324883 
","
  07065324883 ",4,Bedrooms,4,Bathrooms,5,Toilets,3,Parking Spaces, Save
4 Bedroom Semi Detached House With Full Gym And Swimming Pool,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/old-ikoyi/725006-4-bedroom-semi-detached-house-with-full-gym-and-swimming-pool,https://images.nigeriapropertycentre.com/properties/images/thumbs/725006/05f54bdf15bca4-4-bedroom-semi-detached-house-with-full-gym-and-swimming-pool-semi-detached-duplexes-for-rent-old-ikoyi-ikoyi-lagos.jpeg,Premium Listing,"
  5
",Semi-detached duplex for rent,"  Off Bourdillon, Old Ikoyi, Ikoyi, Lagos","
Lease :
Four (4) Bed Semidetach terrace Apartments with Swimming pool, Full Gym, Children Playground, Squash Court, Badminton, Intercoms, 24/7 Electricity, Industrial Size Generators, CCTV, Smoke Detectors, Fire Alarm Systems & Extinguishers, 4 car park Space
Location - Off Bourdillon Old Ikoyi Lagos ....
Rent - 12 m/yr
Sc - 3.5m/yr
(Elect & Diesel included) ",More details,Added Today,"12,000,000", per annum,"
Island Luxury Living Home And Lifestyle

  07017649815 
","
  07017649815 ",,,,,,,,, Save
Fully Detached 5 Bedrooms Duplex,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/gbagada/ifako-gbagada/725002-fully-detached-5-bedrooms-duplex,https://images.nigeriapropertycentre.com/properties/images/thumbs/725002/05f54bce41428e-fully-detached-5-bedrooms-duplex-detached-duplexes-for-rent-ifako-gbagada-gbagada-lagos.jpg,Premium Listing,"
  25
",5 bedroom detached duplex for rent,"  Harmony Estate, Ifako, Gbagada, Lagos","
Fully detached 5 bedrooms duplex with gate house @ Harmony estate Ifako Gbagada 3M PA
*Yoruba tribes working class preferred* ",More details,Added Today,"3,000,000", per annum,"
Sola Aremu And Sons (nig) Enterprises

  08099275848 
","
  08099275848 ",5,Bedrooms,5,Bathrooms,6,Toilets,8,Parking Spaces, Save
Luxury 4 & 5 Bedroom Terraced Duplex,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/724994-luxury-4-5-bedroom-terraced-duplex,https://images.nigeriapropertycentre.com/properties/images/thumbs/724994/05f54b9ed3b48b-luxury-4-5-bedroom-terraced-duplex-terraced-duplexes-for-rent-lekki-lagos.jpg,Premium Listing,"
  8
",4 bedroom terraced duplex for rent,"  Oral Estate, Lekki, Lekki, Lagos","
4 & 5 bedroom terraced duplex available for rent.
Location: Oral Estate, Lekki
Rent: 3.5m per annum
Features:
All Rooms Ensuite
Fully Fitted Kitchen
Spacious Rooms
24hours Electricity
Jacuzzi
Water Heaters
24hours Security etc...
For inspection and more properties like this. Call Deborah: 09082194749 ",More details,Added Today,"3,500,000", per annum,"
Red Luxury Properties

  09082194749 
","
  09082194749 ",4,Bedrooms,5,Bathrooms,5,Toilets,3,Parking Spaces, Save
Newly Built Brand New Tastefully Furnished 4 Bedrooms Terrace,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikota/724962-newly-built-brand-new-tastefully-furnished-4-bedrooms-terrace,https://images.nigeriapropertycentre.com/properties/images/thumbs/724962/05f54a79d3c4ee-newly-built-brand-new-tastefully-furnished-4-bedrooms-terrace-terraced-duplexes-for-rent-ikota-lekki-lagos.jpg,Premium Listing,"
  20
",4 bedroom terraced duplex for rent,"  Off Lekki Expressway, Ikota, Lekki, Lagos","
Newly Built Brand New Tastefully Furnished 4 bedrooms Terrace in an Exclusive safe Estate at Ikota off Lekki Expressway with the following facilities:
-Large sitting room
-Visitors toilet
-Standard size kitchen
-Fully Fitted kitchen
-Inverter rooms
-Good and reliable Electricity
-Ample Parking
-plug in space for your generator
-Prepaid meter
Rent price: 3Million Naira per annum.
Agent fee:10%
Agreement fee:5%
Caution:200k
Services Charge: 35k monthly.
Also note that we also have Semi detached duplex in this estate renting for three million five hundred thousand naira per annum. ",More details,Added Today,"3,000,000", per annum,"
Jaat Properties And Investment Limited

  +2348037372117 
","
  +2348037372117 ",4,Bedrooms,4,Bathrooms,5,Toilets,3,Parking Spaces, Save
700 Sqm Open Space,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/victoria-island/589864-700-sqm-open-space,https://images.nigeriapropertycentre.com/properties/images/thumbs/589864/05e5f6e13a0b20-700-sqm-open-space-detached-duplexes-for-rent-victoria-island-lagos.jpeg,Premium Listing,"
  2
",Detached duplex for rent,"  Adeola Odeku Street, Victoria Island (VI), Lagos","
Suitable for all purposes ",More details,Added on 04 Mar 2020,"35,000,000", per annum,"
Ajah Properties Dev And Construction Ltd

  08038541538 
","
  08038541538 ",,,,,,,,, Save
Newly Built Luxurious 2 Bedroom Flat,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/agege/abule-egba/724934-newly-built-luxurious-2-bedroom-flat,https://images.nigeriapropertycentre.com/properties/images/thumbs/724934/05f548fbe77140-newly-built-luxurious-2-bedroom-flat-detached-duplexes-for-rent-abule-egba-agege-lagos.jpg,Premium Listing,"
  4
",2 bedroom detached duplex for rent,"  Off Ekoro Road, Abule Egba, Agege, Lagos","
Lovely Newly Built & luxurious 2 Bedroom Flat at off ekoro road Abule Egba. Pop ceilings, all round tiles. Fenced, gated & fenced. Serene & secured environment.
NOTE
Agency fee is 2k ",More details,Added Today,"400,000", per annum,"
Home Advantage Properties

  08033910359 
","
  08033910359 ",2,Bedrooms,2,Bathrooms,3,Toilets,2,Parking Spaces, Save
